Words,Reading,Meaning,Sentences
振り,ふり,"swing,  shake, wave",
概念,がいねん,general idea,
概説,がいせつ,general statement,
好ましい,このましい,"nice, likeable, desirable",
軌範,きはん,"model, standard, pattern, norm, criterion",
垢,あか,dirt,
体力,たいりょく,"stamina, endurance, physical strength",
いい加減,いいかげん,"irresponsible, lukewarm, half-baked",
政権,せいけん,"political administration, political power",
気まぐれ,きまぐれ,whim,
成年,せいねん,adult age,
概略,がいりゃく,outline,
熱量,ねつりょう,calorific value,
そっぽ,そっぽ,the other way,
体裁,ていさい,"appearance, format, form, style",
隠居,いんきょ,retirement,
体験,たいけん,personal experience,
来る,きたる,next,
傷つく,きずつく,to be wounded,
汚れる,けがれる,"to be violated, to be corrupted",
喜劇,きげき,comedy,
外来,がいらい,foreign,
器,うつわ,"bowl, vessel, container",
平方,へいほう,square,
起源,きげん,origin,
兆し,きざし,signs,
向上,こうじょう,elevation,
成り立つ,なりたつ,to consist of,
レッスン,レッスン,lesson,
山岳,さんがく,mountains,
なるたけ,なるたけ,as much as possible,
成果,せいか,fruits,
器官,きかん,organ,
レディー,レディー,lady,
当て,あて,aim,
効き目,ききめ,effect,
婉曲,えんきょく,euphemistic,
ふさわしい,ふさわしい,appropriate,
トランジスタ,トランジスタ,electrical transistor,
相応,そうおう,suitability,
しなやか,しなやか,"supple, flexible, elastic",
参上,さんじょう,calling on,
コントロール,コントロール,control,
参照,さんしょう,reference,
当たり,あたり,hit,
体格,たいかく,physique,
下火,したび,"burning low, waning, declining",
コントラスト,コントラスト,contrast,
向き,むき,direction,
明朗,めいろう,cheerful,
売り出す,うりだす,to put on the market,
明瞭,めいりょう,clarity,
勢力,せいりょく,"influence, power, might",
専修,せんしゅう,specialization,
駄作,ださく,poor piece of work,
検事,けんじ,public prosecutor,
降伏,こうふく,capitulation,
陰気,いんき,gloomy,
治安,ちあん,public order,
吟味,ぎんみ,close examination,
治まる,おさまる,to be at peace,
潤う,うるおう,to be moist,
よほど,よほど,very,
もっぱら,もっぱら,wholly,
よって,よって,therefore,
梅干し,うめぼし,umeboshi,
体,てい,appearance,
危ぶむ,あやぶむ,to fear,
危害,きがい,injury,
危機,きき,crisis,
治療,ちりょう,medical treatment,
磁気,じき,magnetism,
磁器,じき,porcelain,
盾,たて,shield,
釣鐘,つりがね,temple bell,
平常,へいじょう,normal,
養護,ようご,nursing,
姓名,せいめい,full name,
征服,せいふく,conquest,
世,よ,world,
盗み,ぬすみ,stealing,
企画,きかく,planning,
コンタクト,コンタクト,contact,
準じる,じゅんじる,to follow,
準ずる,じゅんずる,to apply correspondingly,
倍率,ばいりつ,magnification,
準急,じゅんきゅう,semi-express train,
はるか,はるか,far,
宣言,せんげん,declaration,
こぐ,こぐ,to row,
まくる,まくる,to turn up,
争い,あらそい,dispute,
憂鬱,ゆううつ,depression,
要請,ようせい,appeal,
会談,かいだん,conversation,
降水,こうすい,rainfall,
要望,ようぼう,demand for,
明くる,あくる,next,
蕾,つぼみ,flower bud,
明かす,あかす,to pass,
占領,せんりょう,occupying,
宣教,せんきょう,religious mission,
大幅,おおはば,big,
次いで,ついで,"next, subsequently",
大部,たいぶ,lengthy,
下位,かい,low rank,
要因,よういん,main cause,
配布,はいふ,distribution,
命中,めいちゅう,a hit,
配置,はいち,arrangement,
ゆとり,ゆとり,elbowroom,
鉱業,こうぎょう,mining industry,
鉱山,こうざん,mine ore,
屋敷,やしき,residence,
大柄,おおがら,large build,
エアメール,エアメール,air mail,
遺跡,いせき,historic ruins,
願書,がんしょ,written application or petition,
懸賞,けんしょう,offering prizes,
要する,ようする,to need,
配列,はいれつ,arrangement,
配慮,はいりょ,consideration,
配分,はいぶん,distribution,
コンテスト,コンテスト,contest,
漏れる,もれる,to leak out,
漏らす,もらす,to let leak,
股,もも,thigh,
講習,こうしゅう,short course,
起伏,きふく,"undulation, ups and down",
軌道,きどう,orbit,
必然,ひつぜん,inevitable,
必修,ひっしゅう,required,
城下,じょうか,land near a castle,
製鉄,せいてつ,iron manufacture,
講読,こうどく,reading,
時差,じさ,time difference,
時刻表,time difference,table,
舐める,なめる,to lick,
配偶者,はいぐうしゃ,spouse,
配給,はいきゅう,distribution,
購読,こうどく,paid subscription,
購入,こうにゅう,purchase,
用法,ようほう,directions,
用品,ようひん,articles,
製法,せいほう,manufacturing method,
操縦,そうじゅう,steering,
操る,あやつる,to manipulate,
共和,きょうわ,republican,
購買,こうばい,procurement,
用紙,ようし,blank form,
例,ためし,precedent,
声明,せいめい,declaration,
つぶる,つぶる,to close (eyes),
用件,ようけん,business,
申し込み,もうしこみ,application,
弁償,べんしょう,reimbursement,
腸,ちょう,guts,
大胆,だいたん,bold,
目盛り,めもり,scale,
起点,きてん,starting point,
会見,かいけん,interview,
溶液,ようえき,solution (liquid),
財源,ざいげん,source of funds,
財政,ざいせい,financial affairs,
弁護,べんご,defense,
吝嗇,りんしょく,stinginess,
全快,ぜんかい,complete recovery of health,
在庫,ざいこ,inventory,
ポジション,ポジション,position,
聖書,せいしょ,bible,
洋風,ようふう,western style,
貴族,きぞく,noble,
導入,どうにゅう,introduction,
弁解,べんかい,justification,
一帯,いったい,region,
ちり取り,ちりとり,dustpan,
聴診器,ちょうしんき,stethoscope,
匹敵,ひってき,to be a match for,
聴講,ちょうこう,lecture attendance,
行政,ぎょうせい,administration,
大水,おおみず,flood,
憧れ,あこがれ,yearning,
聴覚,ちょうかく,the sense of hearing,
ちょくちょく,ちょくちょく,often,
ニュー,ニュー,new,
倅,せがれ,son,
さも,さも,really,
さほど,さほど,not so,
ポット,ポット,pot,
便宜,べんぎ,convenience,
介抱,かいほう,nursing,
介入,かいにゅう,intervention,
会,え,gathering,
写し,うつし,copy,
略語,りゃくご,abbreviation,
担う,になう,to carry on shoulder,
ラベル,ラベル,label,
導く,みちびく,to guide,
記名,きめい,signature,
大衆,たいしゅう,general public,
精密,せいみつ,precise,
ちらっと,ちらっと,at a glance,
潮,しお,tide,
オープン,オープン,open,
介護,かいご,nursing,
歪む,歪む,to warp,
刃,は,edge,
返答,へんとう,reply,
ミスプリント,ミスプリント,misprint,
ミセス,ミセス,mrs.,
立方,たちかた,way of standing,
返済,へんさい,repayment,
満場,まんじょう,unanimous,
立法,りっぽう,legislation,
善良,ぜんりょう,goodness,
同封,どうふう,enclosure,
熱湯,ねっとう,boiling water,
規約,きやく,agreement,
記す,しるす,to write down,
だぶだぶ,だぶだぶ,loose,
一切,いっさい,all,
返還,へんかん,return,
芝,しば,lawn,
立体,りったい,solid body,
予言,かねごと,promise,
満月,まんげつ,full moon,
記載,きさい,record,
朝寝坊,あさねぼう,oversleeping,
厳密,げんみつ,strict,
だけ,だけ,only,
記述,きじゅつ,description,
重んずる,おもんずる,to honor,
心得,こころえ,knowledge,
満たす,みたす,to satisfy,
同等,どうとう,equality,
懲りる,こりる,to learn by experience,
同調,どうちょう,sympathy,
熱意,ねつい,zeal,
人民,じんみん,people,
一息,ひといき,one breath,
不順,ふじゅん,irregularity,
徴収,ちょうしゅう,collection,
ちやほや,ちやほや,to pamper,
汚らわしい,けがらわしい,filthy,
来場,らいじょう,attendance,
汚れ,けがれ,disgrace,
落ち葉,おちば,fallen leaves,
厳か,おごそか,solemn,
実態,じったい,true state,
並,なみ,average,
重んじる,おもんじる,to respect,
実費,じっぴ,actual expense,
突っ張る,つっぱる,to support,
おいて,おいて,at,
挑戦,ちょうせん,challenge,
挑む,いどむ,to challenge,
何気ない,なにげない,casual,
規制,きせい,regulation,
長大,ちょうだい,very long,
規定,きてい,stipulation,
だるい,だるい,sluggish,
規模,きぼ,scale,
原爆,げんばく,atomic bomb,
ストロー,ストロー,drinking straw,
心情,しんじょう,sentiment,
認識,にんしき,recognition,
したためる,したためる,to write up,
頼み,たのみ,request,
外相,がいしょう,foreign minister,
情け深い,なさけぶかい,tender-hearted,
実質,じっしつ,substance,
長々,ながなが,long,
遠方,えんぽう,long way,
おごる,おごる,to give someone a treat,
立ち寄る,たちよる,to stop by,
原文,げんぶん,the text,
心地,ここち,feeling,
心中,しんじゅう,double suicide,
人柄,ひとがら,personality,
同盟,どうめい,alliance,
橋渡し,はしわたし,bridge building,
完璧,かんぺき,perfect,
実践,じっせん,practice,
前例,ぜんれい,precedent,
原油,げんゆ,crude oil,
まして,まして,still more,
ぞんざい,ぞんざい,rude,
おびただしい,おびただしい,large number,
妊娠,にんしん,conception,
教訓,きょうくん,lesson,
オートマチック,オートマチック,automatic,
渋い,しぶい,astringent,
心がけ,こころがけ,intention,
原則,げんそく,principle,
獣,けもの,beast,
とろける,とろける,to melt,
堂々,どうどう,magnificent,
鉛,なまり,lead (Pb),
肝心,かんじん,essential,
たった,たった,only,
口頭,こうとう,oral,
率いる,ひきいる,to lead,
代わる代わる,かわるがわる,alternately,
任命,にんめい,appointment,
教材,きょうざい,teaching materials,
不在,ふざい,absence,
教習,きょうしゅう,training,
さえずる,さえずる,to sing,
原点,げんてん,origin,
グラフ,グラフ,graph,
原典,げんてん,original (text),
心がける,こころがける,to keep in mind,
心強い,こころづよい,"heartening, reassuring",
取り締まり,とりしまり,control,
ストロボ,ストロボ,stroboscope,
心細い,こころぼそい,helpless,
取引,とりひき,transactions,
交わす,かわす,to exchange,
織り,おり,weave,
教職,きょうしょく,the teaching profession,
不景気,ふけいき,economic slump,
任す,まかす,to entrust,
もろに,もろに,completely,
綴じる,とじる,to bind,
従事,じゅうじ,engaging,
梢,こずえ,treetop,
つじつま,つじつま,coherence,
制服,せいふく,uniform,
制約,せいやく,limitation,
ストライキ,ストライキ,strike,
制定,せいてい,enactment,
ベストセラー,ベストセラー,best-seller,
取り替え,とりかえ,swap,
ベスト,ベスト,best,
打ち切る,うちきる,to stop,
あざ笑う,あざわらう,to sneer at,
さぞ,さぞ,i am sure,
尿,にょう,urine,
任務,にんむ,duty,
従来,じゅうらい,up to now,
柔軟,じゅうなん,flexible,
壺,つぼ,jar,
打開,だかい,break in the deadlock,
打撃,だげき,blow,
審議,しんぎ,deliberation,
審査,しんさ,judging,
くちばし,くちばし,"beak, bill",
教科,きょうか,subject,
嗜好,しこう,taste,
トラブル,トラブル,trouble,
妥結,だけつ,settlement,
制する,せいする,to hold back,
傍ら,かたわら,side,
妥協,だきょう,compromise,
レギュラー,レギュラー,regular,
花壇,かだん,flower bed,
利根,りこん,intelligence,
ややこしい,ややこしい,puzzling,
口述,こうじゅつ,dictation,
かすか,かすか,faint,
箇条書き,かじょうがき,itemized form,
制裁,せいさい,restraint,
従業員,じゅうぎょういん,employee,
平たい,ひらたい,flat,
片思い,かたおもい,unrequited love,
重複,ちょうふく,duplication,
外貨,がいか,foreign currency,
重宝,ちょうほう,convenient,
外観,がいかん,appearance,
念,ねん,sense,
ムード,ムード,mood,
凝らす,こごらす,to freeze,
凝る,こごる,to congeal,
持ち,もち,hold,
縮まる,ちぢまる,to shorten,
あっさり,あっさり,easily,
密接,みっせつ,related,
了,りょう,finish,
密集,みっしゅう,crowd,
元素,げんそ,chemical element,
獲得,かくとく,acquisition,
年輪,ねんりん,annual tree ring,
ロープ,ロープ,rope,
獲物,えもの,game,
不動産,ふどうさん,real estate,
あくどい,あくどい,"gaudy, showy",
あからさま,あからさま,plain,
スポーツカー,スポーツカー,sports car,
旅券,りょけん,passport,
浸す,ひたす,to soak,
旅客,りょかく,passenger,
確信,かくしん,conviction,
確定,かくてい,decision,
未練,みれん,lingering affection,
地主,じぬし,landlord,
定年,ていねん,retirement age,
あやふや,あやふや,uncertain,
不当,ふとう,injustice,
ゲスト,ゲスト,guest,
広まる,ひろまる,to spread,
正義,せいぎ,justice,
正規,せいき,"regular, normal",
揉める,もめる,to disagree,
新入生,しんにゅうせい,new student,
年長,ねんちょう,senior,
地元,じもと,home area,
地獄,じごく,hell,
雨具,あまぐ,rain gear,
あの,あの,that,
祝賀,しゅくが,celebration,
あべこべ,あべこべ,"contrary, opposite",
群集,ぐんしゅう,group,
宿命,しゅくめい,fate,
下調べ,したしらべ,preliminary investigation,
駆け足,かけあし,running fast,
蔵,くら,warehouse,
給う,たまう,"to give​, do",
定義,ていぎ,definition,
給食,きゅうしょく,provision of lunch,
給仕,きゅうじ,waiting on a table.,
産後,さんご,postpartum,
巧み,たくみ,skillful,
産休,さんきゅう,maternity leave,
まさしく,まさしく,surely,
下地,したじ,groundwork,
フロント,フロント,front,
地形,ちけい,terrain,
格差,かくさ,qualitative difference,
レントゲン,レントゲン,X-ray,
定食,ていしょく,set meal,
拗れる,こじれる,to get complicated,
巧妙,こうみょう,"ingenious, skillful",
抓る,つねる,to pinch,
産物,さんぶつ,product,
産婦人科,さんふじんか,maternity and gynaecology department,
正解,せいかい,correct,
産出,さんしゅつ,"production, yield",
新築,しんちく,new building,
討議,とうぎ,debate,
区画,くかく,division,
各種,かくしゅ,every kind,
究極,きゅうきょく,ultimate,
窮屈,きゅうくつ,"narrow, cramped",
工学,こうがく,engineering,
とうてい,とうてい,by no means,
到達,とうたつ,"reaching, attaining, arrival",
駆けっこ,かけっこ,"foot race, sprint",
拡散,かくさん,scattering,
工作,こうさく,handicraft,
窮乏,きゅうぼう,poverty,
桟橋,さんばし,"wharf, bridge, jetty",
模倣,もほう,imitation,
定める,さだめる,to decide,
晴天,せいてん,fine weather,
堤防,ていぼう,"bank, embankment, levee",
寄与,きよ,"contribution, service",
討論,とうろん,debate,
定まる,さだまる,to become settled,
奇数,きすう,odd number,
面目,めんぼく,face,
自首,じしゅ,surrender,
自主,じしゅ,"independence, autonomy",
模索,もさく,"groping for, searching for",
模型,もけい,model,
模範,もはん,"model, exemplar, example",
閉口,へいこう,"dumbfounded, be at a loss",
閉鎖,へいさ,"closing, closure",
整然,せいぜん,orderly,
にきび,にきび,pimple,
停滞,ていたい,stagnation,
統率,とうそつ,command,
星座,せいざ,constellation,
統制,とうせい,regulation,
下心,したごころ,secret intention,
自信,じしん,self-confidence,
統治,とうち,rule,
整列,せいれつ,standing in a row,
統合,とうごう,integration,
一目,いちもく,look,
並列,へいれつ,running in parallel,
レンタカー,レンタカー,rental car,
レンジ,レンジ,range,
割り込む,わりこむ,to cut in,
勘弁,かんべん,pardon,
面する,めんする,to face on,
面会,めんかい,meeting,
割り当て,わりあて,allotment,
割,わり,rate,
等級,とうきゅう,grade,
勧め,すすめ,recommendation,
総会,そうかい,general meeting,
整える,ととのえる,to put in order,
山脈,さんみゃく,mountain range,
勧告,かんこく,advice,
山腹,さんぷく,hillside,
自在,じざい,freely,
自惚れ,うぬぼれ,pretension,
